tweet,class
' Ёндж «б«е»б «»д «б«е»б ',neg
' Џбм «бг’—нннннд жћг«бег —»д« нЌгнег #MinaAtta http://t.co/NkOvSx6mgD ',pos
' @Kholoudkewan  ѕжб я н— «жм жѕгег ќЁнЁ «бЏг«—… «ббн «д« Ёне« ябе« ”ж—ннд ж«б√ЎЁ«б Џ”б ',pos
' «д« »Џѕ яѕе  ќбм «ббм нжЏдм   »Ќ«ће ег÷м Џбм ж’б «г«де Џб‘«д «÷гд «дж г‘ нќжд ',neg
' «д« ед Ќ— ',neg
' Ён ЌЁў «ббе н« —н” http://t.co/RGKtP9QHZB ',pos
' н« Џнжд ЏЎ‘«д ЏЎ‘«д… ”е— н« ёбж»  Џ»«д…  Џ»«д… ”Ё— я —ж« гд «бЌ»  б«ёж«  б«ёж« Ён «б÷бг… √бЁ ёг— ',pos
' #“еёд«_гд «”«гн «яжд «  «б»д«  Џбм гж«ёЏ «б ж«’б «б«ћ г«Џн “н гЋб« ‘—жё «б‘г” ж «б–е» «б√“—ё ж √н »Ўнќ ж «б”б«г ',neg
' @Omarr793 Ќгѕ «ббе Џ «б”б«г… ? ',pos
' @ahmedeslam07 √Ќ« гнд њ! ',neg
' бг«  ‘жЁ Ќѕ ж«Ќ‘я я«д »ё«бя я н— г‘Ё ж‘? ',pos
' ѕЏ«Ѕ д«“бе «бћднд… Ќн« м? #StaracArabia  #DoaaElSebaii  ѕЏ«Ѕ «б”»«Џн ѕЏ«Ѕ «б”»«Џм ѕЏ«Ѕ «б”»«Џм ',pos
' @f7271c87648b4c5 бЌѕ ѕбжё н »нёжб «де Ё«ег ...г‘ Џ«—Ёе бне Ќ«”е «де »ня–» ',neg
' @MhmoudElgameil «д« г‘—жќ г‘—жќ н« ћгн ',neg
"' """"""г‘н‘ ‘ »ё«бн √”»жЏ° «де ≈дћ«“ :D"""""""" '",pos
' яЁ«не «б»’е «ббн »»’е« бЌѕ ж «д« г‘ Ў«нё «бЌѕ ѕе .. ',neg
' «Ќ”«” «д Ём Ќѕ  «дм ќѕ гя«дя гд ж”Ў «бд«” «ббм » Ќ»ег жег« ”«»же нќѕж Џ«ѕм . «Ќ”«” жЌ‘ «жм ',neg
' @memoali4ever  »” «д« яд  »Ќ» «бгѕ—” » «Џе« Ёб–бя Ќ» е« ',pos
' ж гнд џн—я Ён ёб»н «я »бе г—”«бн ',pos
' «б”янд… б»«”е ж«б»— ‘Џ«—е ж«б ёжм ÷гн—е ж«бЌяг… гёжбе ж«б’ѕё ж«бжЁ«Ѕ Ў»нЏ е ж«бЏЁж ж«бгЏ—жЁ ќбёе ж«бЏѕб ”н— е ж«бЌё ‘—нЏ е ж«беѕм «г«ге ',pos
' @NesmaAbouleila @Tahoun71 —»д« н‘Ёне жнёжг »«б”б«ге жн‘Ём яб г—н÷ ',pos
"' """"""г н√”‘ гд «ббн Ё« ° ж«” »‘— »«ббн ћ«н .. —»я я—нг"""""""" '",pos
"' ""\""""@123Abdoibr: #Џ«ћб   —ѕѕ ёдж«  «бћ“н—е г»«‘— г’— «б —яне ѕ« «б —ѕѕ н«‘»«» 10921 Џбн гЏѕб  —гн“ 27500 гѕ«— 3 д«нб ”«  г»—жя н««Ќ—«— ‘н—\""""\"""" '",neu
"' ""«б «нг б«нд гхЁ—Ќ »Ў—нё…  Ё—шЌ :\"""")) '",pos
' ќќќќќќќ я”г  ÷нЏ «б—гн«  ',neg
' г ќ’’нд »д÷нЏ ÷—»«  ћ“«Ѕ Ё я—е «бёѕг ж—гн«  Ќ—е Ё «б”бе г—«— ',neg
' @waled21148264 «еб гя… «ѕ—м »‘Џ«»е« ',neu
' Ќ«б… гд «б«я ∆«» ж «б»ƒ” .. ',neg
' 32 Ћ«дне .. «бЁ—ё 55 бнд« .. н««««—» ',pos
"' """"""≈–« »бџя Џд √ќня ‘нЅ  я—ее ° Ё«б г” бе «бЏ–— ћеѕя °Ё≈д бг  ћѕ бе Џ–—« ° Ёёб : бЏб бе Џ–—« б« √Џбге.... —»д« н”«гЌ .."""""""" '",pos
' Џбм «б’ёЁ… яб… н—ё’ Џбм «б’ёЁ… яб… н—ё’  “г««««««««««««««««««««««««««бя ',pos
' «Ќ”«” «д «бѕдн«  ”жѕ «ѕ«гя я—е ж«Ќѕе ж б«ём егжг  ёнбе жёЏ  Џбмня Ёћ«е  «Ќ”«” жЌ‘ «жжжм ',neg
' гд нгбя «б√ќб«ё ж«б√ѕ» н”яд Ён «бёбж» ≈бм «б√ѕ» ',pos
' @mimi_kokaice76 »” »н‘ г гнд« ! ',neg
"' ""«бЌн«… «б Ё ќн«бн Ќбж… «жжжн :\"""") '",pos
' б«  н√” ≈–« Ќ—гя «ббе г«  Ќ» жб«  Ќ“д ≈–« «дћ»—  Џбм «б Џ«н‘ гЏ ж÷Џ ёѕ нƒбгя »б ≈» ”г б√д «ббе ё«б »яб —Ќг… жЏ”м √д  я—еж« ‘н∆« жеж ќн— бяг ',pos
' гЁ ёѕ… «жн Ёя—… «д няжд Ён Ќѕ ёѕн Ён «б»н . ',neg
' «бде«н«  «б”Џнѕе ѕ«∆г«  « н Ён «бг‘г‘ ',neg
' @ALIABAS81096753 @69_sou н«Ќ?ж я н«”н”н «” ё»«б —«∆Џ б—∆н” г’— «бћћнѕ… «бёжн… ',pos
' ’ЌнЌ «д «бџ—»… ’Џ»… »” «бжЌѕ… ћгнб… :D  ќб’ гд егжг «бд«” ж Ё÷м бежгя  Ќбе« :) ',pos
"' """"""гх— уѕшс √д« Џд Ќх»яц ж ≈д √еѕ— м ѕгм «бгх»«Ќх ° Ё≈д я«д «б≈нгу«дх Ём ёх—у»яц Ё«бяЁ— »яц Ёуб«Ќх !"""""""" '",neg
"' ""\""""@do_dy89: ’Џ»е бг«  Ё я— «дя гег Џдѕ Ќѕ жЁ «б«ќ—  я ‘Ё «дя яд  џбЎ«д\"""" http://t.co/De82zZpxeL '",neg
' @weaamhilali  е« нег «ќ—ћ »нег «д« ',neu
' @Mohamed_Helmy_T «д« г÷«нё ёжн ..  »’ж  Ёѕ«Ѕ ',neg
' «бЌ—н… б?жб —«” «бЌ—н… ббгѕ—ћ «бяж—… ббћгеж— н« ѕ«ќбн… ж”ќ… ',neg
' ѕе ё«бн Ён нжг н« Ќ»н» м ќѕн «бёг—  ж—Ќ  гЏ«е жг««ѕ«дн ≈б« «б”е— ',neg
' жгнд Ён г’— г«»нЌ»‘ н—ћЏ «б»н  нб«ён «бџѕ« гя—жд… жЁ—«ќ »«дне њњ ',neu
' жќнг  Џнд«я »бнбм -------- жџ«ѕ— д»÷я Џ«бгм ---------- Џнд«я гд”н «д ',neg
' @teamah77 @medhat65 —»д« нЌЁўя гд яб ‘— ж н»«—я Ёнян ',pos
' ћнб «б«н»«ѕ »гд«”»… «б«г Ќ«д«  г«г е » ёжбж« –«я— Џ«ж“«я  «яб «бя «» «яб ё«бе« е« м яж»«н… гне ж«Џгбм ‘«м Џб‘«д «Ќ»” еееееееееееееееееееееее ',neu
' @sarrranagi ≈д« ббе ж ≈д« ≈бне —«ћЏжд  Ў» ггяд бндя «бгя » «бЌёжём ',neg
' ѕ« «бѕнд Ён Џ—Ё «бЌ— ег ж г–б… ж г— ',neg
' @monyadel982 @DesoukyAya «е ж«ббе Ќ—ёж« ѕгд« нб« »дЌ» гћ«днд ',neg
' ё—» гд —»д« же ё—» гдя яб Ќ«ћ… Ќбж… ? ',pos
' #KirazMevsimi #MohammadChahine  н«—н  дя”Ё «б ’жн  Џбм —ёг 2222222 бб’ж  «бѕе»м http://t.co/uNmOarkblk ',pos
' жгд  «дм «янѕ —«ћЏнд «д« ѕ«н» жябм Ќднд ',pos
' «ббн н‘жЁе« Ён «б‘«—Џ гн‘жЁе«‘ Џ «б«д” ћ—«г ',neg
' гд ? ”днд « Ё—ћ  Џ г”б”б »—џг «дн »я—е «бг”б”б«  «д ж«Ќѕе   Џгн ж«ббн »нЌ»е« н—жЌ нѕ—” гќ’ж’ Ў» Џнжд Џб‘«д нЏ«бће« ѕе ёе—е ћг«Џне н« ћг«Џе ',neg
' @CBCeXtra «ЁбЌ √д ’ѕё ж«бгё’жѕ..(ёЎ—( ',neg
' ё«Џѕ… «б’Ќ«» Ён д’ «б«”»жЏ » ё—» «я — гд ё«Џѕ… «ќ— «б√”»жЏ ',neu
"' """"""\""""@seksek: е–е «бѕдн« я «» «д  Ёне «бЁя—° гд «бё«∆б\"""" «б” """""""" '",neu
' ѕбжё н ћ«н » бЏ» Џбм «бн ќ»“я жЏћдя ! ',neg
"' ""@hanaa35 «бќжЁ »√бЁ д’б ---- яб д’б ндџ—” Ём Ќбг ё«ѕг ---- Ё ”жѕ Ќ«б… д“Ё бяб «б√Ќб«г ---- жн”жѕ «б»ЌЋ Џд –—… √г«д \"""" ж¬гдег гд ќжЁ \"""" '",neg
' «б” «– «гн— ЎЏнге « ’ж— ”бЁм гЏ ‘«енд жгнд« »ћж«— я«” бё» ” «— «я«ѕгм ?  #MohammadChahine ',neu
' «д  «ќ— ж«Ќѕ Ё «бѕдн« ггяд ‘н—нд  »ям Џбне .. «д  Ё«ег ! ',neg
' @aaaahmad21  Ў»Џ« «ег гд «бя «»е ж«б«Ќ”«” «б«гб«Ѕ «б‘нЅ б“жг «б‘нЅ  ..^^ ',neu
' @sohamorsy г”«я √—жЏ ',pos
' @sSoOma17 Ём Ќѕ »Џ  еѕ«н б‘н—ж ',neu
' яд —жжжжжжжжжб д«ѕж« ѕЏ«Ѕ »ём #StaracArabia #DoaaElSebaii ',neu
' яд  »«∆” гд Ќн« м жЌ“нд «б”«Џе12 бяд ѕбжё м г Ё√б жг»”жЎ Ё‘ќ  ”»Ќ«д гџн— «?Ќж«б ',pos
' «жЏн  ” ”еб г«ѕе ',neu
' г«еж ќб’ «бЁнбг «ббн я » е Џбн Џя” г« яд  «д« » гдн .. ѕ« «д« яд  Ён Ќ»я гд «б«жб «»бн” г Џ‘г Ён «бћде ',neg
' «д« гд я — «б«д‘џ«б Ќ«”” «д Ён жё  «ћ«“ н я«∆д џ—н» Ён »н н » Џ—Ё Џбн «б«”—… гд «жб жћѕнѕ ',neg
' «е Џбн «бћ«гЏ… ж «г Ќ«д«  «бћ«гЏ… ',neg
' @Dinaelhendwy ЁЏб« ’Ќ Џдѕя Ќё «ббе н—Ќгя н« «гм ',pos
'  нћм Џбне н«»д «б«Ќ»м »ж—ѕе   ....н”бг Џбм я” «гя ',neg
' @NightStars777 —»д« гЏ«я «д ‘«Ѕ «ббе ',pos
' ”е«г «ббнб ’«∆»… «бг—«гн «–« ж —  »«ж «— «бќ‘жЏ н”ѕѕе« «бм «бг—гм —ћ«б нЎнбжд «б”ћжѕ гЏ «б—яжЏ ',neu
' ё«ЎЏег жёб бег:  »«р бяг ! ',neg
' —«Ќ -_- ',neg
"' """"""Ќнд дяжд гЁ—џнд жб« дЌжн ≈б« «бќж«Ѕ ° Ќнде« ”жЁ дяжд √ёб ‘Џж—«р »«б√бг."""""""" '",neg
' @iMiruuzz «д н «бгЁ—ж÷ Ћ«джн ’Ќњ ',neu
' «д« гд нжг «б”»  е»ѕ« г–«я—… ? ',neu
