tweet,class
' яб Ќбг »√бг .. яб ќЎже »Џ–«» .. ',neg
' «бЏ”я—н гѕ—” «б «—нќ Ён ‘»—« ћ«н» Џ—»н«  ег— бб«”н” «д  жб”… ћ«н» б»д е г—”нѕ” 2015 «б ем «ѕн Ён  «б … Ћ«джн Ён Џнѕ гнб«ѕе« ',neg
' «б‘ё««««««««««ж… бЏ» м  ж«б‘г«б г‘ ”я м њ ',pos
' @memoali4ever  «д« я«д Џдѕн Ќ”«» ж« ёЁб я«д Џдѕн Ёжбж—“ я н— я н— ',neg
"' """"""@mahmoud_turkey0 н«Џг √ днб° ѕн яЁ«н… √ге« —ж”н… :D"""""""" '",neg
' еж яг«д Ёне  Џ—н’ Ќя«г Ён «б»«”я  -_- ',neg
' ≈д  ‘«Ѕ«ббе √ягб «ббнб…Џбжг «бё—¬д жѕ—” «б Ё”н—ж«бгЁ”—жд жбЏбе «бѕ—” «б√ќн—√жё»б «б√ќн—Џбм Ќ”» г«н н”— жЁне я » «б Ё”н—жгн“…яб я «» ',pos
' : г—«ё»… «ббм »дЌ»ег гд »Џнѕ б»Џнѕ ѕм Џ–«» ..!! ',neg
' гЌгжѕ гЌн гЌгжѕ гЌн  гЌгжѕ гЌн #MahmoudMoheyLovers «г н «б“г«д н”гЌ н« ћгнб ж«”е— гЏ«я Џбн ‘Ў «бднб ',pos
' «’Џ» ябн нд Џгбм #едѕ”… ж #’нѕб… »«б — н»  жЎ»Џ« #Џбжг ќ«—ћ «бгд«Ё”… ѕм  #гЏ—жЁ… !!!! ',neg
' @ALMRISEUL н« —«ћб «беб«б Џдѕе еѕЁ ’ЌнЌ г« Ён «н ќЎ√  Ќянгн ж « ён —»я »б«‘ ÷Ќя Џбм «бг”«янд   е–« ж «д« « Ќ«ѕн ',neg
' @NesmaAbouleila ‘Ё«е «ббе жЏЁ«е жнЎгд ёб»я Џбне жня»— ж Ё—Ќм »е ',pos
' @ebnmasr @69_sou «ббе «ббе «ббе «ббе «ббе «ббе «ббе ёжб жЌ‘д« «бёжб ѕе гд“г««««««««««д  Ќн« г’— Џўне… жёжн… «д‘«Ѕббе ',pos
' #»ѕ—«д.. «б”бЎ… г ж—Ў… гЏ «бЏѕж Ён гЌ«—»… #«бгё«жг… https://t.co/RtgozcO6Vk #«бё”«г  #Ќг«”  #г’—  #г»«‘—_г’— ',neu
' @zelashkar гдег ‘Џ»…»д «бЌћ«ћ жжянЏ »д «бћ—«Ќ ж”Ён«д »д Џннд…«бг жЁм ”д…198ећ—н ж—жЌ »д Џ»«ѕ…«б»’—н ж¬ѕг »д √»н ≈н«” ',neu
' « Ё—ћ н«”б«г Џбн «» ”«г жен » «яб ...ѕн бг  «яб гЏ »дн «ѕгнд гд ё»б...ѕн » «яб Ён Џ‘… Ё—«ќ #Starac24 ',neg
' гнд«««« ћЏ«д н« ћѕЏ«д #MinaAtta ',neu
' Џд№ѕн ћже «бџх№—»… Ќцбг . ',pos
' @AhmedShokeer95 “гнб »«»« Ё «б‘џб  жЁм ',neu
' @Press_Egy @aswatmasriya «ббн г« —»«‘ г’—  —»н «»же ',neg
' «Ќд« г‘ ед»Ўб я «»е ееееее http://t.co/nk1v5k3Wdz ',neu
"' ""\""""@wafa_ana: «б у’Ёцнё еж «бж”нцб… «бжуЌцнѕ… «б шн д” ЎцнЏ »е« гхё«ЎуЏ… √нш гх ЌѕшцЋ ѕхжд √д дхЋцн— џу÷»е .. #—»«»_«бябг #ёеж…_«б”«»Џ…\"""" '",neu
"' """"""бд нЁегя ≈б« ≈Ћд«д ° √Ќѕег г— Ён Ќ«б я ° ж«б√ќ— нЌ»я ћѕ«р !"""""""" '",neu
' @Press_Egy @aswatmasriya «б«“е— гќ «ћ нЎе— дЁ”е гд «бѕ«ќб ',neg
' ж «де«—ѕ«  »ён «д е  Џб«ё н »«бћ«гЏе ж «ббё«Ѕ нжг 5/1 ',neu
' ё«Џѕе «бЏ» diner dash гд я — »ƒ”м http://t.co/XJ1eg101nh ',neg
"' """"""~ гд «бћнѕ √д  Ќ Ёб »«бдћ«Ќ° бяд «б√ег √д   Џбг гд «бЁ‘б ~"""""""" '",neu
' г‘ еб«ём Ќѕ ! ',neu
' « Ё—ћж« Џбм mbc2 ',neu
' »Ў«—н… «бгж»«нб г»ё«‘ Ёне« »—я… ќ«б’ ',neg
' нжг бб «—нќ «ё”г »«ббе ? ',pos
' @7esabraqm2011 @AHMDAHSHAN б« н«Ёдѕг гЁн‘ г÷«нё… жб« Ќ«ћ… жЌ’б ќн— ',pos
' @M7mod_bal7a «‘Ўе ',pos
' Џбм Ёя—е √д« Џг—м г √я—е Ќѕ яд  Ќ»н е ё»б яѕе :) ? ',pos
' @ehabmohmedahmed @Anon_Force @__janjona_ @mohamed82682786 —»д« г« нЌ—гдн гдя н««” «– «не«» «д « гЋбн «б«Џбн »ћѕ ж«ббе ',pos
' @RAlawadh @al3azfh75 @abbodart1 ггяд «” «–м ”ж«б ',neu
' @stylelife01992 н«»д м ж —»д« «я »м «б user name bt3y kda @tefa6995 msh kda @tefa6695 ',neu
' @EmaAbuyousef  Ён д«” »не»бж »«бяб«г Џ яд“е ',neg
' @stylelife01992 @khalid_walid_95 ж«д м гд «ебж  ’»Ќм Џбм ќн— http://t.co/hAoPIxFYuH ',pos
' @reem1985_reem  бж »д  г’—не «ќб«ёе« дЁ” «ќб«ё џ«ѕе гн‘—Ёдн‘ «ѕЏге« жя«д  ‘џ«бе Ё гя«д яѕ« ж’ж—е« д«“бе »«б‘яб «бг”ќ—е ѕ«  —»н н г ”гЌбн‘ ',neg
' @Hend_KOfficial # ‘«енд «д‘« «бб… ',pos
' @AhmedAlaaAtaa ябе »нЌж— Џбн ябе жгЌѕ‘ Џ«—Ё Ќ«ће ',neg
' «бгжёЁ ѕе гд «»÷д «бгж«ёЁ «б Ќ’б  гЏ«н« «б«”»жЏ ѕе ',neg
' @7amoud_0 «жЏѕд« н«««—» ждџж— гд «б»бѕ ѕне ',neg
' @ArhMorocco @fc831e50d3bd44b «Ќд« ябд« Џ—» г”бгнд «ж г”Ќнд «Ќд« ѕжб «б‘г«б «бЏ—»м «янѕ дЌ —гяж «Ќд« «бг’—ннд ж—ћ«Ѕ 2 http://t.co/obaIBi6PR4 ',pos
' ’б«… «бЁћ— «Ћ«»яг «ббе .. ',neu
' гЌ «ћ «—жЌ «”ядѕ—не ',neu
' @SadButTrue33 @ShimaaKhaled25 «ƒнѕя »яб ‘ѕе  :-) ',pos
' @Maroc_tiskat22 Џ‘«д »«ёжбн «дн ”гЌ  бб»д   ‘ г »н н ‘жЁн «д« ‘ г е« жЏгб бе« »бжя ж«ббе Џнн» бг«   егн «бд«” »«б»«Ўб http://t.co/VFPEAoifG9 ',neg
' »Џя”я  егдн «бЌёнё…  егя дЁ”я ! ',neg
